Nodal displacements, Load comb.: ULS
ID	Node	ex	ey	ez	φ x	φ y	φ z	Comb.
[-]	[-]	[mm]	[mm]	[mm]	[°]	[°]	[°]	[-]
B.7.1	8	-2.794	0.000	-5.353	0.000	-0.150	0.000	1 ULS
B.7.1	5	-2.777	0.000	-0.191	0.000	0.177	0.000	1 ULS
B.7.1	6	-2.783	0.000	-5.278	0.000	0.150	0.000	1 ULS
B.7.1	7	-2.788	0.000	-7.544	0.000	0.002	0.000	1 ULS
B.7.1	13	-2.799	0.000	-0.186	0.000	-0.185	0.000	1 ULS
B.8.1	5	-2.777	0.000	-0.191	0.000	0.177	0.000	1 ULS
B.8.1	1	-0.000	0.000	-0.000	0.000	-0.000	0.000	1 ULS
B.8.1	2	-1.309	0.000	-0.049	0.000	-0.084	0.000	1 ULS
B.8.1	4	-4.936	0.000	-0.145	0.000	0.004	0.000	1 ULS
B.8.1	3	-3.700	0.000	-0.098	0.000	-0.083	0.000	1 ULS
B.9.1	13	-2.799	0.000	-0.186	0.000	-0.185	0.000	1 ULS
B.9.1	9	0.000	0.000	-0.000	0.000	0.000	0.000	1 ULS
B.9.1	11	0.369	0.000	-0.095	0.000	0.005	0.000	1 ULS
B.9.1	10	0.148	0.000	-0.048	0.000	0.009	0.000	1 ULS
B.9.1	12	0.032	0.000	-0.141	0.000	-0.047	0.000	1 ULS
S.5	1	-0.000	0.000	-0.000	0.000	-0.000	0.000	1 ULS
S.6	9	0.000	0.000	-0.000	0.000	0.000	0.000	1 ULS

