Bars, Displacements, Ultimate - Load case: DeadLoad
Bar	x	ex'	ey'	ez'	φ x'	φ y'	φ z'	Case
[-]	[m]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
B.1.1	0.000	0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.1.1	0.500	0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.1.1	1.000	0.000	0.000	0.000	0.000	-0.002	0.000	DeadLoad
B.1.1	1.000	0.000	0.000	0.000	0.000	-0.002	0.000	DeadLoad
B.1.1	1.500	0.000	0.000	0.000	0.000	-0.002	0.000	DeadLoad
B.1.1	2.000	0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.1.1	2.000	0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.1.1	2.500	0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	3.000	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.1.1	3.000	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.1.1	3.500	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.1.1	4.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	4.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	4.500	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	5.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	5.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.1.1	5.500	-0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
B.1.1	6.000	-0.000	0.000	0.000	0.000	0.001	0.000	DeadLoad
B.1.1	6.000	-0.000	0.000	0.000	0.000	0.001	0.000	DeadLoad
B.1.1	6.500	-0.000	0.000	0.000	0.000	0.002	0.000	DeadLoad
B.1.1	7.000	-0.000	0.000	0.000	0.000	0.002	0.000	DeadLoad
B.1.1	7.000	-0.000	0.000	0.000	0.000	0.002	0.000	DeadLoad
B.1.1	7.500	-0.000	0.000	0.000	0.000	0.003	0.000	DeadLoad
B.1.1	8.000	-0.000	0.000	0.000	0.000	0.003	0.000	DeadLoad
B.2.1	0.000	-0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.2.1	0.500	-0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.2.1	1.000	-0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.2.1	1.000	-0.000	0.000	0.000	0.000	-0.003	0.000	DeadLoad
B.2.1	1.500	-0.000	0.000	0.000	0.000	-0.002	0.000	DeadLoad
B.2.1	2.000	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	2.000	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	2.500	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	3.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	3.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	3.500	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	4.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	4.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	4.500	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	5.000	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	5.000	-0.000	0.000	0.000	0.000	-0.001	0.000	DeadLoad
B.2.1	5.500	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	6.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	6.000	-0.000	0.000	0.000	0.000	-0.000	0.000	DeadLoad
B.2.1	6.500	0.000	0.000	0.000	0.000	0.000	0.000	DeadLoad
