Bars, Displacements, Load comb.: ULS
Bar	x	ex'	ey'	ez'	φ x'	φ y'	φ z'	Comb.
[-]	[m]	[m]	[m]	[m]	[°]	[°]	[°]	[-]
B.1.1	0.000	0.001	0.000	0.003	0.000	-0.557	0.000	1 ULS
B.1.1	0.500	0.001	0.000	0.008	0.000	-0.511	0.000	1 ULS
B.1.1	1.000	0.001	0.000	0.012	0.000	-0.396	0.000	1 ULS
B.1.1	1.000	0.001	0.000	0.012	0.000	-0.396	0.000	1 ULS
B.1.1	1.500	0.001	0.000	0.015	0.000	-0.242	0.000	1 ULS
B.1.1	2.000	0.001	0.000	0.017	0.000	-0.081	0.000	1 ULS
B.1.1	2.000	0.001	0.000	0.017	0.000	-0.081	0.000	1 ULS
B.1.1	2.500	0.000	0.000	0.016	0.000	0.055	0.000	1 ULS
B.1.1	3.000	0.000	0.000	0.015	0.000	0.135	0.000	1 ULS
B.1.1	3.000	0.000	0.000	0.015	0.000	0.135	0.000	1 ULS
B.1.1	3.500	0.000	0.000	0.013	0.000	0.127	0.000	1 ULS
B.1.1	4.000	-0.000	0.000	0.012	0.000	-0.000	0.000	1 ULS
B.1.1	4.000	-0.000	0.000	0.012	0.000	-0.000	0.000	1 ULS
B.1.1	4.500	-0.000	0.000	0.013	0.000	-0.127	0.000	1 ULS
B.1.1	5.000	-0.000	0.000	0.015	0.000	-0.135	0.000	1 ULS
B.1.1	5.000	-0.000	0.000	0.015	0.000	-0.135	0.000	1 ULS
B.1.1	5.500	-0.000	0.000	0.016	0.000	-0.055	0.000	1 ULS
B.1.1	6.000	-0.001	0.000	0.017	0.000	0.081	0.000	1 ULS
B.1.1	6.000	-0.001	0.000	0.017	0.000	0.081	0.000	1 ULS
B.1.1	6.500	-0.001	0.000	0.015	0.000	0.242	0.000	1 ULS
B.1.1	7.000	-0.001	0.000	0.012	0.000	0.396	0.000	1 ULS
B.1.1	7.000	-0.001	0.000	0.012	0.000	0.396	0.000	1 ULS
B.1.1	7.500	-0.001	0.000	0.008	0.000	0.511	0.000	1 ULS
B.1.1	8.000	-0.001	0.000	0.003	0.000	0.557	0.000	1 ULS
B.2.1	0.000	-0.000	0.000	0.000	0.000	-0.133	0.000	1 ULS
B.2.1	0.500	-0.000	0.000	0.001	0.000	-0.132	0.000	1 ULS
B.2.1	1.000	-0.000	0.000	0.002	0.000	-0.128	0.000	1 ULS
B.2.1	1.000	-0.000	0.000	0.002	0.000	-0.128	0.000	1 ULS
B.2.1	1.500	-0.000	0.000	0.003	0.000	-0.123	0.000	1 ULS
B.2.1	2.000	-0.000	0.000	0.004	0.000	-0.115	0.000	1 ULS
B.2.1	2.000	-0.000	0.000	0.004	0.000	-0.115	0.000	1 ULS
B.2.1	2.500	-0.000	0.000	0.005	0.000	-0.105	0.000	1 ULS
B.2.1	3.000	-0.000	0.000	0.006	0.000	-0.094	0.000	1 ULS
B.2.1	3.000	-0.000	0.000	0.006	0.000	-0.094	0.000	1 ULS
B.2.1	3.500	-0.000	0.000	0.007	0.000	-0.080	0.000	1 ULS
B.2.1	4.000	-0.000	0.000	0.008	0.000	-0.065	0.000	1 ULS
B.2.1	4.000	-0.000	0.000	0.008	0.000	-0.065	0.000	1 ULS
B.2.1	4.500	-0.000	0.000	0.008	0.000	-0.049	0.000	1 ULS
B.2.1	5.000	-0.000	0.000	0.009	0.000	-0.033	0.000	1 ULS
