Nodal displacements, Load comb.: ULS
ID	Node	ex	ey	ez	φ x	φ y	φ z	Comb.
[-]	[-]	[mm]	[mm]	[mm]	[°]	[°]	[°]	[-]
B.13.1	8	-64.583	0.000	-106.590	0.000	-2.612	0.000	1 ULS
B.13.1	9	-64.663	0.000	-22.186	0.000	-3.059	0.000	1 ULS
B.13.1	5	-64.344	0.000	20.715	0.000	2.845	0.000	1 ULS
B.13.1	6	-64.424	0.000	-75.027	0.000	3.557	0.000	1 ULS
B.13.1	7	-64.504	0.000	-134.869	0.000	0.666	0.000	1 ULS
B.14.1	5	-64.344	0.000	20.715	0.000	2.845	0.000	1 ULS
B.14.1	1	-0.000	0.000	-0.000	0.000	-0.000	0.000	1 ULS
B.14.1	2	-23.910	0.000	7.785	0.000	-1.562	0.000	1 ULS
B.14.1	4	-95.922	0.000	31.423	0.000	-0.158	0.000	1 ULS
B.14.1	3	-69.083	0.000	22.659	0.000	-1.621	0.000	1 ULS
B.15.1	9	-64.663	0.000	-22.186	0.000	-3.059	0.000	1 ULS
B.15.1	11	7.380	0.000	2.142	0.000	-0.168	0.000	1 ULS
B.15.1	10	-9.742	0.000	-3.723	0.000	-1.264	0.000	1 ULS
B.15.1	13	0.000	0.000	-0.000	0.000	0.000	0.000	1 ULS
B.15.1	12	4.769	0.000	1.430	0.000	0.247	0.000	1 ULS
S.9	1	-0.000	0.000	-0.000	0.000	-0.000	0.000	1 ULS
S.10	13	0.000	0.000	-0.000	0.000	0.000	0.000	1 ULS

