Bars, Internal forces, Load comb.: ULS
ID	x	N	Ty'	Tz'	Mt	My'	Mz'	Comb.
[-]	[m]	[kN]	[kN]	[kN]	[kNm]	[kNm]	[kNm]	[-]
B.33.1	0.000	-8.091	0.000	50.145	-0.000	-28.324	0.000	1 ULS
B.33.1	0.375	-8.091	0.000	44.098	-0.000	-10.653	0.000	1 ULS
B.33.1	0.750	-8.091	0.000	38.050	-0.000	4.750	0.000	1 ULS
B.33.1	1.125	-8.091	0.000	32.003	-0.000	17.885	0.000	1 ULS
B.33.1	1.500	-8.091	0.000	25.955	-0.000	28.752	0.000	1 ULS
B.33.1	1.500	-8.091	0.000	25.955	-0.000	28.752	0.000	1 ULS
B.33.1	1.875	-8.091	0.000	19.908	-0.000	37.351	0.000	1 ULS
B.33.1	2.250	-8.091	0.000	13.861	-0.000	43.683	0.000	1 ULS
B.33.1	2.625	-8.091	0.000	7.813	-0.000	47.747	0.000	1 ULS
B.33.1	3.000	-8.091	0.000	1.766	-0.000	49.543	0.000	1 ULS
B.33.1	3.000	-8.091	0.000	1.766	-0.000	49.543	0.000	1 ULS
B.33.1	3.375	-8.091	0.000	-4.282	-0.000	49.071	0.000	1 ULS
B.33.1	3.750	-8.091	0.000	-10.329	-0.000	46.331	0.000	1 ULS
B.33.1	4.125	-8.091	0.000	-16.377	-0.000	41.324	0.000	1 ULS
B.33.1	4.500	-8.091	0.000	-22.424	-0.000	34.049	0.000	1 ULS
B.33.1	4.500	-8.091	0.000	-22.424	-0.000	34.049	0.000	1 ULS
B.33.1	4.875	-8.091	0.000	-28.472	-0.000	24.506	0.000	1 ULS
B.33.1	5.250	-8.091	0.000	-34.519	-0.000	12.695	0.000	1 ULS
B.33.1	5.625	-8.091	0.000	-40.567	-0.000	-1.384	0.000	1 ULS
B.33.1	6.000	-8.091	0.000	-46.614	-0.000	-17.730	0.000	1 ULS
B.34.1	0.000	-7.799	0.000	48.380	-0.000	-31.724	0.000	1 ULS
B.34.1	0.375	-7.799	0.000	42.332	-0.000	-14.716	0.000	1 ULS
B.34.1	0.750	-7.799	0.000	36.285	-0.000	0.025	0.000	1 ULS
B.34.1	1.125	-7.799	0.000	30.237	-0.000	12.498	0.000	1 ULS
B.34.1	1.500	-7.799	0.000	24.190	-0.000	22.703	0.000	1 ULS
B.34.1	1.500	-7.799	0.000	24.190	-0.000	22.703	0.000	1 ULS
B.34.1	1.875	-7.799	0.000	18.142	-0.000	30.640	0.000	1 ULS
B.34.1	2.250	-7.799	0.000	12.095	-0.000	36.310	0.000	1 ULS
B.34.1	2.625	-7.799	0.000	6.047	-0.000	39.711	0.000	1 ULS
B.34.1	3.000	-7.799	0.000	0.000	-0.000	40.845	0.000	1 ULS
B.34.1	3.000	-7.799	0.000	0.000	-0.000	40.845	0.000	1 ULS
B.34.1	3.375	-7.799	0.000	-6.047	-0.000	39.711	0.000	1 ULS
B.34.1	3.750	-7.799	0.000	-12.095	-0.000	36.310	0.000	1 ULS
B.34.1	4.125	-7.799	0.000	-18.142	-0.000	30.640	0.000	1 ULS
B.34.1	4.500	-7.799	0.000	-24.190	-0.000	22.703	0.000	1 ULS
B.34.1	4.500	-7.799	0.000	-24.190	-0.000	22.703	0.000	1 ULS
B.34.1	4.875	-7.799	0.000	-30.237	-0.000	12.498	0.000	1 ULS
B.34.1	5.250	-7.799	0.000	-36.285	-0.000	0.025	0.000	1 ULS
B.34.1	5.625	-7.799	0.000	-42.332	-0.000	-14.716	0.000	1 ULS
B.34.1	6.000	-7.799	0.000	-48.380	-0.000	-31.724	0.000	1 ULS
B.35.1	0.000	-8.091	0.000	50.145	-0.000	-28.324	0.000	1 ULS
B.35.1	0.375	-8.091	0.000	44.098	-0.000	-10.653	0.000	1 ULS
B.35.1	0.750	-8.091	0.000	38.050	-0.000	4.750	0.000	1 ULS
B.35.1	1.125	-8.091	0.000	32.003	-0.000	17.885	0.000	1 ULS
B.35.1	1.500	-8.091	0.000	25.955	-0.000	28.752	0.000	1 ULS
B.35.1	1.500	-8.091	0.000	25.955	-0.000	28.752	0.000	1 ULS
B.35.1	1.875	-8.091	0.000	19.908	-0.000	37.351	0.000	1 ULS
B.35.1	2.250	-8.091	0.000	13.861	-0.000	43.683	0.000	1 ULS
B.35.1	2.625	-8.091	0.000	7.813	-0.000	47.747	0.000	1 ULS
B.35.1	3.000	-8.091	0.000	1.766	-0.000	49.543	0.000	1 ULS
B.35.1	3.000	-8.091	0.000	1.766	-0.000	49.543	0.000	1 ULS
B.35.1	3.375	-8.091	0.000	-4.282	-0.000	49.071	0.000	1 ULS
B.35.1	3.750	-8.091	0.000	-10.329	-0.000	46.331	0.000	1 ULS
B.35.1	4.125	-8.091	0.000	-16.377	-0.000	41.324	0.000	1 ULS
B.35.1	4.500	-8.091	0.000	-22.424	-0.000	34.049	0.000	1 ULS
B.35.1	4.500	-8.091	0.000	-22.424	-0.000	34.049	0.000	1 ULS
B.35.1	4.875	-8.091	0.000	-28.472	-0.000	24.506	0.000	1 ULS
B.35.1	5.250	-8.091	0.000	-34.519	-0.000	12.695	0.000	1 ULS
B.35.1	5.625	-8.091	0.000	-40.567	-0.000	-1.384	0.000	1 ULS
B.35.1	6.000	-8.091	0.000	-46.614	-0.000	-17.730	0.000	1 ULS
B.36.1	0.000	-7.799	0.000	48.380	-0.000	-31.724	0.000	1 ULS
B.36.1	0.375	-7.799	0.000	42.332	-0.000	-14.716	0.000	1 ULS
B.36.1	0.750	-7.799	0.000	36.285	-0.000	0.025	0.000	1 ULS
B.36.1	1.125	-7.799	0.000	30.237	-0.000	12.498	0.000	1 ULS
B.36.1	1.500	-7.799	0.000	24.190	-0.000	22.703	0.000	1 ULS
B.36.1	1.500	-7.799	0.000	24.190	-0.000	22.703	0.000	1 ULS
B.36.1	1.875	-7.799	0.000	18.142	-0.000	30.640	0.000	1 ULS
