Bars, Internal forces, Ultimate - Load case: DL
ID	x	N	Ty'	Tz'	Mt	My'	Mz'	Case
[-]	[m]	[kN]	[kN]	[kN]	[kNm]	[kNm]	[kNm]	[-]
B.1.1	0.000	-0.264	0.000	2.600	-0.000	-1.058	0.000	DL
B.1.1	0.375	-0.264	0.000	2.275	-0.000	-0.145	0.000	DL
B.1.1	0.750	-0.264	0.000	1.950	-0.000	0.648	0.000	DL
B.1.1	1.125	-0.264	0.000	1.625	-0.000	1.318	0.000	DL
B.1.1	1.500	-0.264	0.000	1.300	-0.000	1.866	0.000	DL
B.1.1	1.500	-0.264	0.000	1.300	-0.000	1.866	0.000	DL
B.1.1	1.875	-0.264	0.000	0.975	-0.000	2.293	0.000	DL
B.1.1	2.250	-0.264	0.000	0.650	-0.000	2.597	0.000	DL
B.1.1	2.625	-0.264	0.000	0.325	-0.000	2.780	0.000	DL
B.1.1	3.000	-0.264	0.000	0.000	-0.000	2.841	0.000	DL
B.1.1	3.000	-0.264	0.000	0.000	-0.000	2.841	0.000	DL
B.1.1	3.375	-0.264	0.000	-0.325	-0.000	2.780	0.000	DL
B.1.1	3.750	-0.264	0.000	-0.650	-0.000	2.597	0.000	DL
B.1.1	4.125	-0.264	0.000	-0.975	-0.000	2.293	0.000	DL
B.1.1	4.500	-0.264	0.000	-1.300	-0.000	1.866	0.000	DL
B.1.1	4.500	-0.264	0.000	-1.300	-0.000	1.866	0.000	DL
B.1.1	4.875	-0.264	0.000	-1.625	-0.000	1.318	0.000	DL
B.1.1	5.250	-0.264	0.000	-1.950	-0.000	0.648	0.000	DL
B.1.1	5.625	-0.264	0.000	-2.275	-0.000	-0.145	0.000	DL
B.1.1	6.000	-0.264	0.000	-2.600	-0.000	-1.058	0.000	DL
B.2.1	0.000	-0.419	0.000	2.600	-0.000	-1.705	0.000	DL
B.2.1	0.375	-0.419	0.000	2.275	-0.000	-0.791	0.000	DL
B.2.1	0.750	-0.419	0.000	1.950	-0.000	0.001	0.000	DL
B.2.1	1.125	-0.419	0.000	1.625	-0.000	0.672	0.000	DL
B.2.1	1.500	-0.419	0.000	1.300	-0.000	1.220	0.000	DL
B.2.1	1.500	-0.419	0.000	1.300	-0.000	1.220	0.000	DL
B.2.1	1.875	-0.419	0.000	0.975	-0.000	1.646	0.000	DL
B.2.1	2.250	-0.419	0.000	0.650	-0.000	1.951	0.000	DL
B.2.1	2.625	-0.419	0.000	0.325	-0.000	2.134	0.000	DL
B.2.1	3.000	-0.419	0.000	0.000	-0.000	2.195	0.000	DL
B.2.1	3.000	-0.419	0.000	0.000	-0.000	2.195	0.000	DL
B.2.1	3.375	-0.419	0.000	-0.325	-0.000	2.134	0.000	DL
B.2.1	3.750	-0.419	0.000	-0.650	-0.000	1.951	0.000	DL
B.2.1	4.125	-0.419	0.000	-0.975	-0.000	1.646	0.000	DL
B.2.1	4.500	-0.419	0.000	-1.300	-0.000	1.220	0.000	DL
B.2.1	4.500	-0.419	0.000	-1.300	-0.000	1.220	0.000	DL
B.2.1	4.875	-0.419	0.000	-1.625	-0.000	0.672	0.000	DL
B.2.1	5.250	-0.419	0.000	-1.950	-0.000	0.001	0.000	DL
B.2.1	5.625	-0.419	0.000	-2.275	-0.000	-0.791	0.000	DL
B.2.1	6.000	-0.419	0.000	-2.600	-0.000	-1.705	0.000	DL
B.3.1	0.000	-0.264	0.000	2.600	-0.000	-1.058	0.000	DL
B.3.1	0.375	-0.264	0.000	2.275	-0.000	-0.145	0.000	DL
B.3.1	0.750	-0.264	0.000	1.950	-0.000	0.648	0.000	DL
B.3.1	1.125	-0.264	0.000	1.625	-0.000	1.318	0.000	DL
B.3.1	1.500	-0.264	0.000	1.300	-0.000	1.866	0.000	DL
B.3.1	1.500	-0.264	0.000	1.300	-0.000	1.866	0.000	DL
B.3.1	1.875	-0.264	0.000	0.975	-0.000	2.293	0.000	DL
B.3.1	2.250	-0.264	0.000	0.650	-0.000	2.597	0.000	DL
B.3.1	2.625	-0.264	0.000	0.325	-0.000	2.780	0.000	DL
B.3.1	3.000	-0.264	0.000	-0.000	-0.000	2.841	0.000	DL
B.3.1	3.000	-0.264	0.000	0.000	-0.000	2.841	0.000	DL
B.3.1	3.375	-0.264	0.000	-0.325	-0.000	2.780	0.000	DL
B.3.1	3.750	-0.264	0.000	-0.650	-0.000	2.597	0.000	DL
B.3.1	4.125	-0.264	0.000	-0.975	-0.000	2.293	0.000	DL
B.3.1	4.500	-0.264	0.000	-1.300	-0.000	1.866	0.000	DL
B.3.1	4.500	-0.264	0.000	-1.300	-0.000	1.866	0.000	DL
B.3.1	4.875	-0.264	0.000	-1.625	-0.000	1.318	0.000	DL
B.3.1	5.250	-0.264	0.000	-1.950	-0.000	0.648	0.000	DL
B.3.1	5.625	-0.264	0.000	-2.275	-0.000	-0.145	0.000	DL
B.3.1	6.000	-0.264	0.000	-2.600	-0.000	-1.058	0.000	DL
B.4.1	0.000	-0.419	0.000	2.600	-0.000	-1.705	0.000	DL
B.4.1	0.375	-0.419	0.000	2.275	-0.000	-0.791	0.000	DL
B.4.1	0.750	-0.419	0.000	1.950	-0.000	0.001	0.000	DL
B.4.1	1.125	-0.419	0.000	1.625	-0.000	0.672	0.000	DL
B.4.1	1.500	-0.419	0.000	1.300	-0.000	1.220	0.000	DL
B.4.1	1.500	-0.419	0.000	1.300	-0.000	1.220	0.000	DL
B.4.1	1.875	-0.419	0.000	0.975	-0.000	1.646	0.000	DL
B.4.1	2.250	-0.419	0.000	0.650	-0.000	1.951	0.000	DL
B.4.1	2.625	-0.419	0.000	0.325	-0.000	2.134	0.000	DL
B.4.1	3.000	-0.419	0.000	0.000	-0.000	2.195	0.000	DL
B.4.1	3.000	-0.419	0.000	0.000	-0.000	2.195	0.000	DL
B.4.1	3.375	-0.419	0.000	-0.325	-0.000	2.134	0.000	DL
B.4.1	3.750	-0.419	0.000	-0.650	-0.000	1.951	0.000	DL
B.4.1	4.125	-0.419	0.000	-0.975	-0.000	1.646	0.000	DL
B.4.1	4.500	-0.419	0.000	-1.300	-0.000	1.220	0.000	DL
B.4.1	4.500	-0.419	0.000	-1.300	-0.000	1.220	0.000	DL
B.4.1	4.875	-0.419	0.000	-1.625	-0.000	0.672	0.000	DL
B.4.1	5.250	-0.419	0.000	-1.950	-0.000	0.001	0.000	DL
B.4.1	5.625	-0.419	0.000	-2.275	-0.000	-0.791	0.000	DL
B.4.1	6.000	-0.419	0.000	-2.600	-0.000	-1.705	0.000	DL
B.5.1	0.000	-10.399	0.264	0.419	-0.000	-0.810	0.526	DL
B.5.1	0.375	-10.074	0.264	0.419	-0.000	-0.653	0.427	DL
B.5.1	0.750	-9.749	0.264	0.419	-0.000	-0.495	0.328	DL
B.5.1	1.125	-9.424	0.264	0.419	-0.000	-0.338	0.229	DL
B.5.1	1.500	-9.099	0.264	0.419	-0.000	-0.181	0.130	DL
B.5.1	1.500	-9.099	0.264	0.419	-0.000	-0.181	0.130	DL
B.5.1	1.875	-8.774	0.264	0.419	-0.000	-0.024	0.031	DL
B.5.1	2.250	-8.449	0.264	0.419	-0.000	0.133	-0.068	DL
B.5.1	2.625	-8.124	0.264	0.419	-0.000	0.290	-0.167	DL
