Nodal displacements, Load comb.: ULS
ID	Node	ex	ey	ez	φ x	φ y	φ z	Comb.
[-]	[-]	[mm]	[mm]	[mm]	[°]	[°]	[°]	[-]
B.33.1	14	-5.571	0.010	-3.485	-0.075	0.098	0.000	1 ULS
B.33.1	5	-5.566	0.010	-0.259	-0.075	0.105	-0.000	1 ULS
B.33.1	18	-5.582	0.010	-3.636	-0.075	-0.097	0.000	1 ULS
B.33.1	16	-5.576	0.010	-5.018	-0.075	0.003	0.000	1 ULS
B.33.1	24	-5.587	0.010	-0.250	-0.075	-0.122	-0.000	1 ULS
B.34.1	6	-5.566	0.005	-2.800	-0.078	0.105	-0.000	1 ULS
B.34.1	7	-5.566	-0.000	-4.002	-0.000	0.105	0.000	1 ULS
B.34.1	13	-5.566	-0.010	-0.259	0.075	0.105	0.000	1 ULS
B.34.1	8	-5.566	-0.005	-2.800	0.078	0.105	0.000	1 ULS
B.34.1	5	-5.566	0.010	-0.259	-0.075	0.105	-0.000	1 ULS
B.35.1	13	-5.566	-0.010	-0.259	0.075	0.105	0.000	1 ULS
B.35.1	15	-5.571	-0.010	-3.485	0.075	0.098	-0.000	1 ULS
B.35.1	17	-5.576	-0.010	-5.018	0.075	0.003	-0.000	1 ULS
B.35.1	19	-5.582	-0.010	-3.636	0.075	-0.097	-0.000	1 ULS
B.35.1	32	-5.587	-0.010	-0.250	0.075	-0.122	0.000	1 ULS
B.36.1	24	-5.587	0.010	-0.250	-0.075	-0.122	-0.000	1 ULS
B.36.1	27	-5.587	-0.005	-2.791	0.078	-0.122	0.000	1 ULS
B.36.1	25	-5.587	0.005	-2.791	-0.078	-0.122	-0.000	1 ULS
B.36.1	32	-5.587	-0.010	-0.250	0.075	-0.122	0.000	1 ULS
B.36.1	26	-5.587	0.000	-3.993	0.000	-0.122	0.000	1 ULS
B.37.1	5	-5.566	0.010	-0.259	-0.075	0.105	-0.000	1 ULS
B.37.1	2	-1.393	-0.387	-0.066	0.021	-0.092	-0.000	1 ULS
B.37.1	3	-4.159	-0.972	-0.132	0.015	-0.105	-0.000	1 ULS
B.37.1	1	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	1 ULS
B.37.1	4	-6.237	-1.069	-0.196	-0.017	-0.039	-0.000	1 ULS
B.38.1	13	-5.566	-0.010	-0.259	0.075	0.105	0.000	1 ULS
B.38.1	9	-0.000	0.000	-0.000	-0.000	-0.000	0.000	1 ULS
B.38.1	10	-1.393	0.387	-0.066	-0.021	-0.092	0.000	1 ULS
B.38.1	11	-4.159	0.972	-0.132	-0.015	-0.105	0.000	1 ULS
B.38.1	12	-6.237	1.069	-0.196	0.017	-0.039	0.000	1 ULS
B.39.1	24	-5.587	0.010	-0.250	-0.075	-0.122	-0.000	1 ULS
B.39.1	22	-2.505	-0.972	-0.127	0.015	-0.050	-0.000	1 ULS
B.39.1	21	-0.928	-0.387	-0.064	0.021	-0.058	-0.000	1 ULS
B.39.1	23	-3.571	-1.069	-0.189	-0.017	-0.046	-0.000	1 ULS
B.39.1	20	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	1 ULS
B.40.1	32	-5.587	-0.010	-0.250	0.075	-0.122	0.000	1 ULS
B.40.1	30	-2.505	0.972	-0.127	-0.015	-0.050	0.000	1 ULS
B.40.1	31	-3.571	1.069	-0.189	0.017	-0.046	0.000	1 ULS
B.40.1	28	-0.000	0.000	-0.000	-0.000	-0.000	0.000	1 ULS
B.40.1	29	-0.928	0.387	-0.064	-0.021	-0.058	0.000	1 ULS
S.17	1	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	1 ULS
S.18	9	-0.000	0.000	-0.000	-0.000	-0.000	0.000	1 ULS
S.19	20	-0.000	-0.000	-0.000	0.000	-0.000	-0.000	1 ULS
S.20	28	-0.000	0.000	-0.000	-0.000	-0.000	0.000	1 ULS

